GEconEnvResEffWa;GEconEnvResEffLa;GEconEnvResEffEn;GEconEnvResEffGHE;GEconEnvCircEcon;GEconEnvRegNor;GEconEnvConAcu;EnvTotEnv;REconSocSocApp;REconSocGenEq;REconSocYoPe;REconSocPeaJust;REconSocReinc;REconSocPol;REconSocDisInn;PEconSocArt;PEconSocEthVal;OEconSocDivCrea;SocTotSoc;GrEconEconGInc;GrEconEconRetInv;GrEconEconEmpGen;GrEconEconIncGen;GrEconEconDem;EconTotEcon
3;1;3;3;1;3;3;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
3;2;3;3;2;3;3;19;2;1;1;0;0;0;0;1;1;3;9;1;0;1;1;1;4
3;2;3;3;2;3;3;19;0;0;0;0;0;0;1;2;1;2;6;1;0;1;1;1;4
3;3;3;3;3;3;3;21;3;3;3;3;3;3;3;3;3;3;30;3;3;3;3;3;15
3;2;3;3;2;3;3;19;2;1;1;0;0;1;1;0;0;2;8;1;0;2;1;2;6
3;1;3;3;1;3;3;17;2;1;1;1;0;3;1;0;0;2;11;0;0;0;0;0;0
3;3;3;3;3;3;3;21;1;0;0;0;0;0;1;0;0;2;4;1;0;0;0;1;2
3;3;3;3;3;3;3;21;3;0;0;0;0;0;0;3;1;3;10;1;0;0;0;2;3
3;3;3;3;3;3;3;21;0;1;1;0;0;0;1;0;1;2;6;2;2;3;3;3;13
3;3;3;3;3;3;3;21;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;6
3;3;3;3;3;3;3;21;0;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0
3;2;3;3;1;3;3;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;3;3;3;2;3;3;20;1;1;1;0;0;0;0;0;0;1;4;1;0;1;1;1;4
3;3;3;3;2;3;3;20;2;1;1;0;0;1;0;0;0;2;7;1;0;1;1;1;4
3;2;3;3;2;3;3;19;2;1;1;0;0;1;0;0;0;2;7;1;0;1;1;1;4
3;2;3;3;2;3;3;19;2;1;1;0;0;1;0;0;0;2;7;1;0;1;1;1;4
3;2;3;3;2;3;3;19;2;1;1;0;0;0;0;0;0;2;6;1;0;1;1;1;4
